Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,GCF_001267175_1_ASM126717v1_genomic_gff,GCF_001267195_1_ASM126719v1_genomic_gff,GCF_001267215_1_ASM126721v1_genomic_gff,GCF_001267255_1_ASM126725v1_genomic_gff,GCF_001267275_1_ASM126727v1_genomic_gff,GCF_001267295_1_ASM126729v1_genomic_gff,GCF_001267315_1_ASM126731v1_genomic_gff,GCF_030328955_1_ASM3032895v1_genomic_gff,GCF_030328995_1_ASM3032899v1_genomic_gff,GCF_030329025_1_ASM3032902v1_genomic_gff
WP_053105306.1,,heme lyase CcmF/NrfE family subunit,10,10,1,78,4046,,,,1982,1994,1991,9b7e70dc9c6ece2c05dcc2e656b22969_970,f703f9607fd873072b58ff69da1f6298_909,7939b8df5802c39c46adb1416b02880c_3350,5b8d0eb8742d50487a1e3a28fa195a18_1140,4291979d325094cc7b4bce3cd2bb2024_205,a077d878693c9fd52ed3dbbed690b74f_182,03f798c6314f9895224cd16f8bb35aa0_182,0cad7609a72f054f1e5a773edfee880c_3263,b950933d1ddb7e03141c7b304a24a0b6_372,f8e40b63109f8c40a69745e5931a1674_1377
livG,,high-affinity branched-chain amino acid ABC transporter ATP-binding protein LivG,10,10,1,78,48,,,,767,767,767,9b7e70dc9c6ece2c05dcc2e656b22969_910,f703f9607fd873072b58ff69da1f6298_851,7939b8df5802c39c46adb1416b02880c_3290,5b8d0eb8742d50487a1e3a28fa195a18_1200,4291979d325094cc7b4bce3cd2bb2024_145,a077d878693c9fd52ed3dbbed690b74f_124,03f798c6314f9895224cd16f8bb35aa0_122,0cad7609a72f054f1e5a773edfee880c_3323,b950933d1ddb7e03141c7b304a24a0b6_728,f8e40b63109f8c40a69745e5931a1674_1437
rng,,ribonuclease G,10,10,1,78,1553,,,,1457,1457,1457,9b7e70dc9c6ece2c05dcc2e656b22969_4724,f703f9607fd873072b58ff69da1f6298_2228,7939b8df5802c39c46adb1416b02880c_2254,5b8d0eb8742d50487a1e3a28fa195a18_4305,4291979d325094cc7b4bce3cd2bb2024_1680,a077d878693c9fd52ed3dbbed690b74f_1512,03f798c6314f9895224cd16f8bb35aa0_3693,0cad7609a72f054f1e5a773edfee880c_1083,b950933d1ddb7e03141c7b304a24a0b6_1443,f8e40b63109f8c40a69745e5931a1674_2111
typA,,translational GTPase TypA,10,10,1,78,2413,,,,1817,1817,1817,9b7e70dc9c6ece2c05dcc2e656b22969_2827,f703f9607fd873072b58ff69da1f6298_3894,7939b8df5802c39c46adb1416b02880c_604,5b8d0eb8742d50487a1e3a28fa195a18_2690,4291979d325094cc7b4bce3cd2bb2024_3307,a077d878693c9fd52ed3dbbed690b74f_3313,03f798c6314f9895224cd16f8bb35aa0_2006,0cad7609a72f054f1e5a773edfee880c_2273,b950933d1ddb7e03141c7b304a24a0b6_3208,f8e40b63109f8c40a69745e5931a1674_2813
WP_064496084.1,,cytochrome c,10,10,1,78,2563,,,,746,1403,1337,9b7e70dc9c6ece2c05dcc2e656b22969_2575,f703f9607fd873072b58ff69da1f6298_4146,7939b8df5802c39c46adb1416b02880c_352,5b8d0eb8742d50487a1e3a28fa195a18_2434,4291979d325094cc7b4bce3cd2bb2024_3559,a077d878693c9fd52ed3dbbed690b74f_3565,03f798c6314f9895224cd16f8bb35aa0_1754,0cad7609a72f054f1e5a773edfee880c_2019,b950933d1ddb7e03141c7b304a24a0b6_2946,f8e40b63109f8c40a69745e5931a1674_2561
speE,,polyamine aminopropyltransferase,10,10,1,78,3971,,,,863,863,863,9b7e70dc9c6ece2c05dcc2e656b22969_486,f703f9607fd873072b58ff69da1f6298_542,7939b8df5802c39c46adb1416b02880c_2999,5b8d0eb8742d50487a1e3a28fa195a18_1493,4291979d325094cc7b4bce3cd2bb2024_4470,a077d878693c9fd52ed3dbbed690b74f_4602,03f798c6314f9895224cd16f8bb35aa0_4438,0cad7609a72f054f1e5a773edfee880c_401,b950933d1ddb7e03141c7b304a24a0b6_2775,f8e40b63109f8c40a69745e5931a1674_4538
WP_053099580.1,,MFS transporter,10,10,1,78,3350,,,,1193,1193,1193,9b7e70dc9c6ece2c05dcc2e656b22969_1196,f703f9607fd873072b58ff69da1f6298_1134,7939b8df5802c39c46adb1416b02880c_3575,5b8d0eb8742d50487a1e3a28fa195a18_915,4291979d325094cc7b4bce3cd2bb2024_459,a077d878693c9fd52ed3dbbed690b74f_409,03f798c6314f9895224cd16f8bb35aa0_414,0cad7609a72f054f1e5a773edfee880c_2994,b950933d1ddb7e03141c7b304a24a0b6_3910,f8e40b63109f8c40a69745e5931a1674_1154
WP_053100771.1,,ParA family protein,10,10,1,78,894,,,,794,794,794,9b7e70dc9c6ece2c05dcc2e656b22969_3623,f703f9607fd873072b58ff69da1f6298_3218,7939b8df5802c39c46adb1416b02880c_1269,5b8d0eb8742d50487a1e3a28fa195a18_3308,4291979d325094cc7b4bce3cd2bb2024_2725,a077d878693c9fd52ed3dbbed690b74f_2584,03f798c6314f9895224cd16f8bb35aa0_2644,0cad7609a72f054f1e5a773edfee880c_4027,b950933d1ddb7e03141c7b304a24a0b6_4537,f8e40b63109f8c40a69745e5931a1674_3515
mlaE,,lipid asymmetry maintenance ABC transporter permease subunit MlaE,10,10,1,78,3296,,,,797,797,797,9b7e70dc9c6ece2c05dcc2e656b22969_1367,f703f9607fd873072b58ff69da1f6298_1224,7939b8df5802c39c46adb1416b02880c_3665,5b8d0eb8742d50487a1e3a28fa195a18_825,4291979d325094cc7b4bce3cd2bb2024_588,a077d878693c9fd52ed3dbbed690b74f_493,03f798c6314f9895224cd16f8bb35aa0_498,0cad7609a72f054f1e5a773edfee880c_2912,b950933d1ddb7e03141c7b304a24a0b6_3995,f8e40b63109f8c40a69745e5931a1674_1060
WP_053100833.1,,response regulator,10,10,1,78,955,,,,662,662,662,9b7e70dc9c6ece2c05dcc2e656b22969_3713,f703f9607fd873072b58ff69da1f6298_3130,7939b8df5802c39c46adb1416b02880c_1357,5b8d0eb8742d50487a1e3a28fa195a18_3404,4291979d325094cc7b4bce3cd2bb2024_2633,a077d878693c9fd52ed3dbbed690b74f_2492,03f798c6314f9895224cd16f8bb35aa0_2774,0cad7609a72f054f1e5a773edfee880c_4157,b950933d1ddb7e03141c7b304a24a0b6_4425,f8e40b63109f8c40a69745e5931a1674_3645
tsaA,,tRNA (N6-threonylcarbamoyladenosine(37)-N6)-methyltransferase TrmO,10,10,1,78,3094,,,,701,701,701,9b7e70dc9c6ece2c05dcc2e656b22969_1593,f703f9607fd873072b58ff69da1f6298_1446,7939b8df5802c39c46adb1416b02880c_3951,5b8d0eb8742d50487a1e3a28fa195a18_595,4291979d325094cc7b4bce3cd2bb2024_901,a077d878693c9fd52ed3dbbed690b74f_711,03f798c6314f9895224cd16f8bb35aa0_781,0cad7609a72f054f1e5a773edfee880c_3938,b950933d1ddb7e03141c7b304a24a0b6_4108,f8e40b63109f8c40a69745e5931a1674_822
WP_053105117.1,,porin,10,10,1,78,1401,,,,1280,1280,1280,9b7e70dc9c6ece2c05dcc2e656b22969_4447,f703f9607fd873072b58ff69da1f6298_2406,7939b8df5802c39c46adb1416b02880c_2056,5b8d0eb8742d50487a1e3a28fa195a18_4103,4291979d325094cc7b4bce3cd2bb2024_1894,a077d878693c9fd52ed3dbbed690b74f_1762,03f798c6314f9895224cd16f8bb35aa0_3477,0cad7609a72f054f1e5a773edfee880c_1261,b950933d1ddb7e03141c7b304a24a0b6_1611,f8e40b63109f8c40a69745e5931a1674_1947
rplB,,50S ribosomal protein L2,10,10,1,78,1192,,,,821,821,821,9b7e70dc9c6ece2c05dcc2e656b22969_4105,f703f9607fd873072b58ff69da1f6298_2750,7939b8df5802c39c46adb1416b02880c_1712,5b8d0eb8742d50487a1e3a28fa195a18_3759,4291979d325094cc7b4bce3cd2bb2024_2238,a077d878693c9fd52ed3dbbed690b74f_2106,03f798c6314f9895224cd16f8bb35aa0_3125,0cad7609a72f054f1e5a773edfee880c_282,b950933d1ddb7e03141c7b304a24a0b6_3406,f8e40b63109f8c40a69745e5931a1674_1599
hisA,,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase,10,10,1,78,2245,,,,734,734,734,9b7e70dc9c6ece2c05dcc2e656b22969_3308,f703f9607fd873072b58ff69da1f6298_3599,7939b8df5802c39c46adb1416b02880c_914,5b8d0eb8742d50487a1e3a28fa195a18_2967,4291979d325094cc7b4bce3cd2bb2024_3042,a077d878693c9fd52ed3dbbed690b74f_2888,03f798c6314f9895224cd16f8bb35aa0_2269,0cad7609a72f054f1e5a773edfee880c_2596,b950933d1ddb7e03141c7b304a24a0b6_510,f8e40b63109f8c40a69745e5931a1674_3151
WP_053101385.1,,IscS subfamily cysteine desulfurase,10,10,1,78,1590,,,,1214,1214,1214,9b7e70dc9c6ece2c05dcc2e656b22969_4799,f703f9607fd873072b58ff69da1f6298_2153,7939b8df5802c39c46adb1416b02880c_2329,5b8d0eb8742d50487a1e3a28fa195a18_4380,4291979d325094cc7b4bce3cd2bb2024_1605,a077d878693c9fd52ed3dbbed690b74f_1437,03f798c6314f9895224cd16f8bb35aa0_3768,0cad7609a72f054f1e5a773edfee880c_1008,b950933d1ddb7e03141c7b304a24a0b6_1368,f8e40b63109f8c40a69745e5931a1674_2188
WP_053105839.1,,AI-2E family transporter,10,10,1,78,3361,,,,1100,1100,1100,9b7e70dc9c6ece2c05dcc2e656b22969_1174,f703f9607fd873072b58ff69da1f6298_1112,7939b8df5802c39c46adb1416b02880c_3553,5b8d0eb8742d50487a1e3a28fa195a18_937,4291979d325094cc7b4bce3cd2bb2024_437,a077d878693c9fd52ed3dbbed690b74f_387,03f798c6314f9895224cd16f8bb35aa0_392,0cad7609a72f054f1e5a773edfee880c_3016,b950933d1ddb7e03141c7b304a24a0b6_3884,f8e40b63109f8c40a69745e5931a1674_1176
WP_053100815.1,,thiazole synthase,10,10,1,78,934,,,,794,794,794,9b7e70dc9c6ece2c05dcc2e656b22969_3675,f703f9607fd873072b58ff69da1f6298_3166,7939b8df5802c39c46adb1416b02880c_1321,5b8d0eb8742d50487a1e3a28fa195a18_3360,4291979d325094cc7b4bce3cd2bb2024_2671,a077d878693c9fd52ed3dbbed690b74f_2530,03f798c6314f9895224cd16f8bb35aa0_2738,0cad7609a72f054f1e5a773edfee880c_4121,b950933d1ddb7e03141c7b304a24a0b6_4461,f8e40b63109f8c40a69745e5931a1674_3609
WP_053100509.1,,peptidylprolyl isomerase,10,10,1,78,2427,,,,482,482,482,9b7e70dc9c6ece2c05dcc2e656b22969_2803,f703f9607fd873072b58ff69da1f6298_3918,7939b8df5802c39c46adb1416b02880c_580,5b8d0eb8742d50487a1e3a28fa195a18_2666,4291979d325094cc7b4bce3cd2bb2024_3331,a077d878693c9fd52ed3dbbed690b74f_3337,03f798c6314f9895224cd16f8bb35aa0_1982,0cad7609a72f054f1e5a773edfee880c_2247,b950933d1ddb7e03141c7b304a24a0b6_3182,f8e40b63109f8c40a69745e5931a1674_2789
rlmF,,23S rRNA (adenine(1618)-N(6))-methyltransferase RlmF,10,10,1,78,2523,,,,938,941,939,9b7e70dc9c6ece2c05dcc2e656b22969_2651,f703f9607fd873072b58ff69da1f6298_4070,7939b8df5802c39c46adb1416b02880c_428,5b8d0eb8742d50487a1e3a28fa195a18_2514,4291979d325094cc7b4bce3cd2bb2024_3483,a077d878693c9fd52ed3dbbed690b74f_3489,03f798c6314f9895224cd16f8bb35aa0_1830,0cad7609a72f054f1e5a773edfee880c_2095,b950933d1ddb7e03141c7b304a24a0b6_3024,f8e40b63109f8c40a69745e5931a1674_2637
rbfA,,30S ribosome-binding factor RbfA,10,10,1,78,1576,,,,386,386,386,9b7e70dc9c6ece2c05dcc2e656b22969_4771,f703f9607fd873072b58ff69da1f6298_2181,7939b8df5802c39c46adb1416b02880c_2301,5b8d0eb8742d50487a1e3a28fa195a18_4352,4291979d325094cc7b4bce3cd2bb2024_1633,a077d878693c9fd52ed3dbbed690b74f_1465,03f798c6314f9895224cd16f8bb35aa0_3740,0cad7609a72f054f1e5a773edfee880c_1036,b950933d1ddb7e03141c7b304a24a0b6_1396,f8e40b63109f8c40a69745e5931a1674_2158
WP_053105001.1,,TRAP transporter permease,10,10,1,78,1010,,,,2549,2564,2561,9b7e70dc9c6ece2c05dcc2e656b22969_3830,f703f9607fd873072b58ff69da1f6298_3050,7939b8df5802c39c46adb1416b02880c_1437,5b8d0eb8742d50487a1e3a28fa195a18_3484,4291979d325094cc7b4bce3cd2bb2024_2525,a077d878693c9fd52ed3dbbed690b74f_2391,03f798c6314f9895224cd16f8bb35aa0_2840,0cad7609a72f054f1e5a773edfee880c_4223,b950933d1ddb7e03141c7b304a24a0b6_942,f8e40b63109f8c40a69745e5931a1674_3711
cysB,,HTH-type transcriptional regulator CysB,10,10,1,78,3965,,,,992,992,992,9b7e70dc9c6ece2c05dcc2e656b22969_484,f703f9607fd873072b58ff69da1f6298_540,7939b8df5802c39c46adb1416b02880c_2997,5b8d0eb8742d50487a1e3a28fa195a18_1495,4291979d325094cc7b4bce3cd2bb2024_4468,a077d878693c9fd52ed3dbbed690b74f_4604,03f798c6314f9895224cd16f8bb35aa0_4436,0cad7609a72f054f1e5a773edfee880c_399,b950933d1ddb7e03141c7b304a24a0b6_2773,f8e40b63109f8c40a69745e5931a1674_4536
phoR,,phosphate regulon sensor histidine kinase PhoR,10,10,1,78,1096,,,,1292,1292,1292,9b7e70dc9c6ece2c05dcc2e656b22969_3928,f703f9607fd873072b58ff69da1f6298_2939,7939b8df5802c39c46adb1416b02880c_1535,5b8d0eb8742d50487a1e3a28fa195a18_3582,4291979d325094cc7b4bce3cd2bb2024_2427,a077d878693c9fd52ed3dbbed690b74f_2283,03f798c6314f9895224cd16f8bb35aa0_2950,0cad7609a72f054f1e5a773edfee880c_4343,b950933d1ddb7e03141c7b304a24a0b6_4605,f8e40b63109f8c40a69745e5931a1674_3821
lptG,,LPS export ABC transporter permease LptG,10,10,1,78,3977,,,,1064,1064,1064,9b7e70dc9c6ece2c05dcc2e656b22969_498,f703f9607fd873072b58ff69da1f6298_554,7939b8df5802c39c46adb1416b02880c_3011,5b8d0eb8742d50487a1e3a28fa195a18_1481,4291979d325094cc7b4bce3cd2bb2024_4482,a077d878693c9fd52ed3dbbed690b74f_4590,03f798c6314f9895224cd16f8bb35aa0_4450,0cad7609a72f054f1e5a773edfee880c_4655,b950933d1ddb7e03141c7b304a24a0b6_4855,f8e40b63109f8c40a69745e5931a1674_4550
WP_053101112.1,,SMI1/KNR4 family protein,10,10,1,78,1368,,,,407,407,407,9b7e70dc9c6ece2c05dcc2e656b22969_4389,f703f9607fd873072b58ff69da1f6298_2464,7939b8df5802c39c46adb1416b02880c_1998,5b8d0eb8742d50487a1e3a28fa195a18_4045,4291979d325094cc7b4bce3cd2bb2024_1952,a077d878693c9fd52ed3dbbed690b74f_1820,03f798c6314f9895224cd16f8bb35aa0_3419,0cad7609a72f054f1e5a773edfee880c_1321,b950933d1ddb7e03141c7b304a24a0b6_1671,f8e40b63109f8c40a69745e5931a1674_1889
cysS,,cysteine--tRNA ligase,10,10,1,78,3247,,,,1385,1385,1385,9b7e70dc9c6ece2c05dcc2e656b22969_1472,f703f9607fd873072b58ff69da1f6298_1329,7939b8df5802c39c46adb1416b02880c_3776,5b8d0eb8742d50487a1e3a28fa195a18_720,4291979d325094cc7b4bce3cd2bb2024_696,a077d878693c9fd52ed3dbbed690b74f_594,03f798c6314f9895224cd16f8bb35aa0_610,0cad7609a72f054f1e5a773edfee880c_2803,b950933d1ddb7e03141c7b304a24a0b6_48,f8e40b63109f8c40a69745e5931a1674_953
bfr,,bacterioferritin,10,10,1,78,2319,,,,479,479,479,9b7e70dc9c6ece2c05dcc2e656b22969_3144,f703f9607fd873072b58ff69da1f6298_3765,7939b8df5802c39c46adb1416b02880c_752,5b8d0eb8742d50487a1e3a28fa195a18_2823,4291979d325094cc7b4bce3cd2bb2024_3168,a077d878693c9fd52ed3dbbed690b74f_3006,03f798c6314f9895224cd16f8bb35aa0_2149,0cad7609a72f054f1e5a773edfee880c_2466,b950933d1ddb7e03141c7b304a24a0b6_192,f8e40b63109f8c40a69745e5931a1674_3035
odhB,,2-oxoglutarate dehydrogenase complex dihydrolipoyllysine-residue succinyltransferase,10,10,1,78,2921,,,,1196,1196,1196,9b7e70dc9c6ece2c05dcc2e656b22969_1933,f703f9607fd873072b58ff69da1f6298_1778,7939b8df5802c39c46adb1416b02880c_4287,5b8d0eb8742d50487a1e3a28fa195a18_253,4291979d325094cc7b4bce3cd2bb2024_1237,a077d878693c9fd52ed3dbbed690b74f_1049,03f798c6314f9895224cd16f8bb35aa0_1117,0cad7609a72f054f1e5a773edfee880c_745,b950933d1ddb7e03141c7b304a24a0b6_1093,f8e40b63109f8c40a69745e5931a1674_489
der,,ribosome biogenesis GTPase Der,10,10,1,78,1608,,,,1469,1469,1469,9b7e70dc9c6ece2c05dcc2e656b22969_4829,f703f9607fd873072b58ff69da1f6298_2123,7939b8df5802c39c46adb1416b02880c_2359,5b8d0eb8742d50487a1e3a28fa195a18_4410,4291979d325094cc7b4bce3cd2bb2024_1575,a077d878693c9fd52ed3dbbed690b74f_1407,03f798c6314f9895224cd16f8bb35aa0_3798,0cad7609a72f054f1e5a773edfee880c_978,b950933d1ddb7e03141c7b304a24a0b6_1338,f8e40b63109f8c40a69745e5931a1674_2218
mnmG,,tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG,10,10,1,78,896,,,,1898,1898,1898,9b7e70dc9c6ece2c05dcc2e656b22969_3627,f703f9607fd873072b58ff69da1f6298_3214,7939b8df5802c39c46adb1416b02880c_1273,5b8d0eb8742d50487a1e3a28fa195a18_3312,4291979d325094cc7b4bce3cd2bb2024_2721,a077d878693c9fd52ed3dbbed690b74f_2580,03f798c6314f9895224cd16f8bb35aa0_2648,0cad7609a72f054f1e5a773edfee880c_4031,b950933d1ddb7e03141c7b304a24a0b6_4533,f8e40b63109f8c40a69745e5931a1674_3519
prpC,,2-methylcitrate synthase,10,10,1,78,1329,,,,1133,1133,1133,9b7e70dc9c6ece2c05dcc2e656b22969_4315,f703f9607fd873072b58ff69da1f6298_2538,7939b8df5802c39c46adb1416b02880c_1924,5b8d0eb8742d50487a1e3a28fa195a18_3971,4291979d325094cc7b4bce3cd2bb2024_2026,a077d878693c9fd52ed3dbbed690b74f_1894,03f798c6314f9895224cd16f8bb35aa0_3345,0cad7609a72f054f1e5a773edfee880c_1405,b950933d1ddb7e03141c7b304a24a0b6_3646,f8e40b63109f8c40a69745e5931a1674_1815
WP_053103328.1,,histidine triad nucleotide-binding protein,10,10,1,78,1163,,,,338,338,338,9b7e70dc9c6ece2c05dcc2e656b22969_4024,f703f9607fd873072b58ff69da1f6298_2831,7939b8df5802c39c46adb1416b02880c_1631,5b8d0eb8742d50487a1e3a28fa195a18_3678,4291979d325094cc7b4bce3cd2bb2024_2319,a077d878693c9fd52ed3dbbed690b74f_2187,03f798c6314f9895224cd16f8bb35aa0_3046,0cad7609a72f054f1e5a773edfee880c_4454,b950933d1ddb7e03141c7b304a24a0b6_4701,f8e40b63109f8c40a69745e5931a1674_3917
waaF,,lipopolysaccharide heptosyltransferase II,10,10,1,78,1460,,,,1046,1046,1046,9b7e70dc9c6ece2c05dcc2e656b22969_4632,f703f9607fd873072b58ff69da1f6298_2300,7939b8df5802c39c46adb1416b02880c_2162,5b8d0eb8742d50487a1e3a28fa195a18_4269,4291979d325094cc7b4bce3cd2bb2024_1784,a077d878693c9fd52ed3dbbed690b74f_1598,03f798c6314f9895224cd16f8bb35aa0_3611,0cad7609a72f054f1e5a773edfee880c_1157,b950933d1ddb7e03141c7b304a24a0b6_1509,f8e40b63109f8c40a69745e5931a1674_2053
nadA,,quinolinate synthase NadA,10,10,1,78,2545,,,,1058,1058,1058,9b7e70dc9c6ece2c05dcc2e656b22969_2606,f703f9607fd873072b58ff69da1f6298_4115,7939b8df5802c39c46adb1416b02880c_383,5b8d0eb8742d50487a1e3a28fa195a18_2469,4291979d325094cc7b4bce3cd2bb2024_3528,a077d878693c9fd52ed3dbbed690b74f_3534,03f798c6314f9895224cd16f8bb35aa0_1785,0cad7609a72f054f1e5a773edfee880c_2050,b950933d1ddb7e03141c7b304a24a0b6_2979,f8e40b63109f8c40a69745e5931a1674_2592
tolQ,,protein TolQ,10,10,1,78,2539,,,,674,674,674,9b7e70dc9c6ece2c05dcc2e656b22969_2621,f703f9607fd873072b58ff69da1f6298_4100,7939b8df5802c39c46adb1416b02880c_398,5b8d0eb8742d50487a1e3a28fa195a18_2484,4291979d325094cc7b4bce3cd2bb2024_3513,a077d878693c9fd52ed3dbbed690b74f_3519,03f798c6314f9895224cd16f8bb35aa0_1800,0cad7609a72f054f1e5a773edfee880c_2065,b950933d1ddb7e03141c7b304a24a0b6_2994,f8e40b63109f8c40a69745e5931a1674_2607
fur,,ferric iron uptake transcriptional regulator,10,10,1,78,1649,,,,410,410,410,9b7e70dc9c6ece2c05dcc2e656b22969_45,f703f9607fd873072b58ff69da1f6298_47,7939b8df5802c39c46adb1416b02880c_2508,5b8d0eb8742d50487a1e3a28fa195a18_2034,4291979d325094cc7b4bce3cd2bb2024_3957,a077d878693c9fd52ed3dbbed690b74f_3948,03f798c6314f9895224cd16f8bb35aa0_3939,0cad7609a72f054f1e5a773edfee880c_3447,b950933d1ddb7e03141c7b304a24a0b6_2275,f8e40b63109f8c40a69745e5931a1674_4240
hemA,,glutamyl-tRNA reductase,10,10,1,78,3043,,,,1268,1268,1268,9b7e70dc9c6ece2c05dcc2e656b22969_1701,f703f9607fd873072b58ff69da1f6298_1552,7939b8df5802c39c46adb1416b02880c_4059,5b8d0eb8742d50487a1e3a28fa195a18_487,4291979d325094cc7b4bce3cd2bb2024_1009,a077d878693c9fd52ed3dbbed690b74f_819,03f798c6314f9895224cd16f8bb35aa0_889,0cad7609a72f054f1e5a773edfee880c_3830,b950933d1ddb7e03141c7b304a24a0b6_4214,f8e40b63109f8c40a69745e5931a1674_714
lpxA,,acyl-ACP--UDP-N-acetylglucosamine O-acyltransferase,10,10,1,78,3074,,,,776,776,776,9b7e70dc9c6ece2c05dcc2e656b22969_1636,f703f9607fd873072b58ff69da1f6298_1487,7939b8df5802c39c46adb1416b02880c_3994,5b8d0eb8742d50487a1e3a28fa195a18_552,4291979d325094cc7b4bce3cd2bb2024_944,a077d878693c9fd52ed3dbbed690b74f_754,03f798c6314f9895224cd16f8bb35aa0_824,0cad7609a72f054f1e5a773edfee880c_3895,b950933d1ddb7e03141c7b304a24a0b6_4149,f8e40b63109f8c40a69745e5931a1674_779
WP_053103361.1,,acyl-CoA dehydrogenase C-terminal domain-containing protein,10,10,1,78,1270,,,,1772,1772,1772,9b7e70dc9c6ece2c05dcc2e656b22969_4215,f703f9607fd873072b58ff69da1f6298_2638,7939b8df5802c39c46adb1416b02880c_1824,5b8d0eb8742d50487a1e3a28fa195a18_3871,4291979d325094cc7b4bce3cd2bb2024_2126,a077d878693c9fd52ed3dbbed690b74f_1994,03f798c6314f9895224cd16f8bb35aa0_3237,0cad7609a72f054f1e5a773edfee880c_1519,b950933d1ddb7e03141c7b304a24a0b6_3524,f8e40b63109f8c40a69745e5931a1674_1711
metR,,transcriptional regulator MetR,10,10,1,78,2952,,,,920,920,920,9b7e70dc9c6ece2c05dcc2e656b22969_1885,f703f9607fd873072b58ff69da1f6298_1730,7939b8df5802c39c46adb1416b02880c_4239,5b8d0eb8742d50487a1e3a28fa195a18_301,4291979d325094cc7b4bce3cd2bb2024_1189,a077d878693c9fd52ed3dbbed690b74f_1001,03f798c6314f9895224cd16f8bb35aa0_1069,0cad7609a72f054f1e5a773edfee880c_3640,b950933d1ddb7e03141c7b304a24a0b6_4408,f8e40b63109f8c40a69745e5931a1674_537
WP_053102336.1,,hypothetical protein,10,10,1,78,4038,,,,461,461,461,9b7e70dc9c6ece2c05dcc2e656b22969_986,f703f9607fd873072b58ff69da1f6298_925,7939b8df5802c39c46adb1416b02880c_3366,5b8d0eb8742d50487a1e3a28fa195a18_1124,4291979d325094cc7b4bce3cd2bb2024_221,a077d878693c9fd52ed3dbbed690b74f_198,03f798c6314f9895224cd16f8bb35aa0_198,0cad7609a72f054f1e5a773edfee880c_3247,b950933d1ddb7e03141c7b304a24a0b6_388,f8e40b63109f8c40a69745e5931a1674_1361
thiC,,phosphomethylpyrimidine synthase ThiC,10,10,1,78,2676,,,,1883,1883,1883,9b7e70dc9c6ece2c05dcc2e656b22969_2362,f703f9607fd873072b58ff69da1f6298_4358,7939b8df5802c39c46adb1416b02880c_139,5b8d0eb8742d50487a1e3a28fa195a18_2224,4291979d325094cc7b4bce3cd2bb2024_3769,a077d878693c9fd52ed3dbbed690b74f_3775,03f798c6314f9895224cd16f8bb35aa0_1544,0cad7609a72f054f1e5a773edfee880c_1797,b950933d1ddb7e03141c7b304a24a0b6_1781,f8e40b63109f8c40a69745e5931a1674_2351
pgsA,,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,10,10,1,78,1407,,,,563,563,563,9b7e70dc9c6ece2c05dcc2e656b22969_4465,f703f9607fd873072b58ff69da1f6298_2388,7939b8df5802c39c46adb1416b02880c_2074,5b8d0eb8742d50487a1e3a28fa195a18_4121,4291979d325094cc7b4bce3cd2bb2024_1876,a077d878693c9fd52ed3dbbed690b74f_1744,03f798c6314f9895224cd16f8bb35aa0_3495,0cad7609a72f054f1e5a773edfee880c_1243,b950933d1ddb7e03141c7b304a24a0b6_1593,f8e40b63109f8c40a69745e5931a1674_1965
nusB,,transcription antitermination factor NusB,10,10,1,78,1315,,,,494,497,494,9b7e70dc9c6ece2c05dcc2e656b22969_4289,f703f9607fd873072b58ff69da1f6298_2564,7939b8df5802c39c46adb1416b02880c_1898,5b8d0eb8742d50487a1e3a28fa195a18_3945,4291979d325094cc7b4bce3cd2bb2024_2052,a077d878693c9fd52ed3dbbed690b74f_1920,03f798c6314f9895224cd16f8bb35aa0_3319,0cad7609a72f054f1e5a773edfee880c_1437,b950933d1ddb7e03141c7b304a24a0b6_3620,f8e40b63109f8c40a69745e5931a1674_1785
aceF,,dihydrolipoyllysine-residue acetyltransferase,10,10,1,78,2477,,,,1640,1640,1640,9b7e70dc9c6ece2c05dcc2e656b22969_2720,f703f9607fd873072b58ff69da1f6298_4001,7939b8df5802c39c46adb1416b02880c_497,5b8d0eb8742d50487a1e3a28fa195a18_2583,4291979d325094cc7b4bce3cd2bb2024_3414,a077d878693c9fd52ed3dbbed690b74f_3420,03f798c6314f9895224cd16f8bb35aa0_1899,0cad7609a72f054f1e5a773edfee880c_2164,b950933d1ddb7e03141c7b304a24a0b6_3097,f8e40b63109f8c40a69745e5931a1674_2706
orn,,oligoribonuclease,10,10,1,78,2618,,,,539,539,539,9b7e70dc9c6ece2c05dcc2e656b22969_2453,f703f9607fd873072b58ff69da1f6298_4267,7939b8df5802c39c46adb1416b02880c_230,5b8d0eb8742d50487a1e3a28fa195a18_2315,4291979d325094cc7b4bce3cd2bb2024_3678,a077d878693c9fd52ed3dbbed690b74f_3684,03f798c6314f9895224cd16f8bb35aa0_1635,0cad7609a72f054f1e5a773edfee880c_1898,b950933d1ddb7e03141c7b304a24a0b6_1864,f8e40b63109f8c40a69745e5931a1674_2442
